hyb,x,y,z,int
0,1511.771689,1900.753931,0,5013.256973
0,1583.313275,486.9999707,0,7677.443704
0,1570.892648,537.7951872,0,7696.49923
0,1565.243412,757.2472286,0,15499.08939
0,1576.997862,938.6130729,0,11716.01599
0,1553.61382,1106.502337,0,3060.207554
0,1623.423883,602.8202302,0,9335.596048
0,1657.574254,632.6297591,0,3233.480761
0,1638.484137,1003.874959,0,8021.058303
0,1630.721616,982.6662577,0,5504.684061
0,1646.605467,1032.115723,0,3671.290173
0,1654.662559,1052.802431,0,4570.984769
0,1726.437907,303.4566641,0,9928.947497
0,1706.144156,271.1339529,0,8469.27864
0,1713.091731,760.0158942,0,3607.141966
0,1717.248673,841.6274611,0,6443.448689
0,1718.338791,980.2024036,0,17812.26272
0,1678.228692,1038.544682,0,4858.845394
0,1764.242769,816.9820358,0,6516.918638
0,1780.066566,1111.017169,0,13389.98823
0,1756.178925,1225.739591,0,7111.556322
0,1788.22772,1505.882394,0,4444.887256
0,1787.052151,1555.70311,0,7942.373079
0,1816.477504,1655.112375,0,8896.406501
0,1843.9358,1821.687576,0,5870.625204
0,1835.036612,1867.951004,0,3008.408992
0,1908.565755,589.6230373,0,6727.256121
0,1887.593201,1033.337427,0,3802.341417
0,1862.683039,1063.742239,0,3110.634939
0,1867.732944,1364.803978,0,12272.38242
0,1917.62476,1383.549838,0,4281.616698
0,1879.366789,1459.11234,0,4526.013097
0,1951.308842,655.2075103,0,3475.025935
0,1943.023538,1137.754412,0,11031.06274
0,257.2759687,1122.6585,0,8945.546928
0,457.1260043,834.2913639,0,5519.010857
0,835.4971638,923.728141,0,4610.253708
0,891.6516106,1155.985781,0,3577.211075
0,837.7586026,1881.845441,0,3990.919844
0,896.0018868,698.9379418,0,11512.04183
0,1030.295453,548.3595904,0,3768.087038
0,1036.207157,769.6211229,0,28588.45163
0,1026.352831,962.5267069,0,12367.69993
0,1086.5436,1732.993771,0,11539.13635
0,1087.774213,1874.338266,0,9027.63512
0,1094.160681,796.3499503,0,15214.49217
0,1144.622055,980.8385007,0,15000.8996
0,1100.725093,976.399162,0,14725.85958
0,1157.999669,1003.502609,0,3549.314661
0,1182.33286,68.83829699,0,6094.933374
0,1198.276912,127.7884564,0,6438.961683
0,1153.168003,998.3034459,0,3515.979102
0,1154.731033,2035.299236,0,4317.500317
0,1220.154228,1289.034966,0,3214.873108
0,1348.656853,61.405106,0,5992.917583
0,1380.588853,575.3509174,0,16773.78174
0,1417.862003,770.8596568,0,5038.142924
0,1477.370568,1265.243326,0,3191.832382
0,1477.586334,1253.169145,0,3754.203857
0,1449.421042,1990.227978,0,5837.30329
0,1519.244957,833.2648085,0,3365.631959
0,1473.386498,1306.899299,0,3632.492751
0,1605.678989,666.7320858,0,14424.3532
0,1536.227662,946.9774212,0,17119.76412
0,1668.984283,1268.578383,0,3172.510237
0,1637.757863,1664.115159,0,4550.762296
0,1682.685641,1793.984539,0,5683.106785
0,1728.591315,319.0094044,0,4234.349721
0,1286,469.8724303,0,32807.75035
1,32,1081,0,17582.92413
1,116.1597232,544.3178045,0,5899.712727
1,731.3339698,429.2437011,0,4212.30972
1,739.9298689,1138.361218,0,3773.321883
1,792.6540645,477.5423357,0,4272.702617
1,774.3040039,946.8433642,0,3170.853885
1,823.3593567,1020.904049,0,9851.601592
1,784.090604,978.2258651,0,3720.612378
1,869.4086343,914.604027,0,3612.918995
1,888.6836258,1167.229209,0,3313.642627
1,884.2954847,1267.254783,0,3154.701569
1,958.1944127,5.058631994,0,5444.47853
1,916.9920078,521.6903334,0,3569.037436
1,945.9642297,633.7341507,0,10876.65175
1,949.3941229,845.9249455,0,6595.327699
1,939.9540953,935.9062732,0,3598.188352
1,944.023907,977.8003603,0,6538.806069
1,952.6249442,1074.988199,0,4031.257011
1,898.4955164,1091.345324,0,3154.6315
1,935.295532,1131,0,3298.884683
1,960.8109651,1211.687966,0,3441.200361
1,909.4510515,1332.295847,0,3184.101319
1,945.8207686,1718.241881,0,5262.874483
1,986.6506922,335.5784483,0,4370.508651
1,1001.384768,1019,0,3329.012283
1,998.2374246,1064.316519,0,3312.216258
1,1015.288688,1066.35256,0,3124.553636
1,995.3890323,1130.465852,0,3393.815837
1,980,1145.539869,0,3017.04804
1,1006.375598,1209.973373,0,3454.481044
1,967.4523015,1353.259367,0,3102.053788
1,982.9895732,1841.814499,0,4286.399755
1,978.4888439,1949.963723,0,4235.493661
1,1086.196423,359.6036296,0,5009.516182
1,1082.056636,510.1116278,0,5097.216735
1,1083.046396,525.2313287,0,3860.944345
1,1052.959047,534.4522466,0,3575.574942
1,1087.590127,618.2129861,0,3589.848793
1,1076.992747,613.7183211,0,3530.920843
1,1064.602221,612.7412839,0,3146.462103
1,1050.969361,679.8294201,0,10382.12035
1,1070.004031,651,0,3590.351531
1,1080.367465,867.996825,0,4207.771205
1,1054.842781,877.831729,0,3224.916324
1,1070.586169,862.5929076,0,3283.838998
1,1067.128213,908.4569766,0,3092.327959
1,1034.398586,1046.807607,0,4333.792082
1,1032.990661,1064.481101,0,3457.06147
1,1060.500365,1243.956191,0,3768.295353
1,1050.085677,1245.373979,0,3097.55233
1,1059.222591,1429.237701,0,3674.735195
1,1042.155724,1437.318445,0,3084.469559
1,1072.38791,1749.97811,0,18674.52385
1,1055.525057,2017.122991,0,6373.180477
1,1100.588485,74.20970086,0,5324.108758
1,1119.516835,500.8420201,0,4326.510813
1,1124.366844,496.1906658,0,3072.728251
1,1093.661041,581.2570866,0,3050.411819
1,1122.506697,726.6687955,0,3123.807415
1,1145.097015,981.1244416,0,12702.82343
1,1101.419846,976.7675196,0,12528.25751
1,1148.822413,983.3480658,0,8305.935149
1,1147.821858,1127.794736,0,3797.32526
1,1134.556817,1201.811532,0,3012.127691
1,1094.849845,1343.795124,0,3365.644936
1,1108.892395,1317,0,3045.538362
1,1147.882743,1353.831479,0,3098.632753
1,1105.071763,1680.103069,0,5224.617933
1,1214.656662,491.1307814,0,3298.848068
1,1209.100708,632.0647714,0,3138.484172
1,1199.305523,671.3365298,0,3255.22001
1,1161.345342,728.138215,0,3985.307987
1,1201.890732,1009.155706,0,3543.770181
1,1189.600658,1004.646761,0,3117.82095
1,1164.271943,1088.596669,0,3980.67081
1,1177.29651,1103.232795,0,4888.723871
1,1210.239381,1184.304781,0,3844.254346
1,1194.296149,1165.598456,0,3224.059092
1,1212.07874,1843.895836,0,5397.304769
1,1199.935878,1892.076856,0,3750.688522
1,1274.971088,315.210844,0,3228.729418
1,1239.661401,640.9808807,0,3397.924383
1,1260.550503,681.532949,0,3886.014955
1,1277.5,728.1770171,0,3266.646942
1,1251.498952,797.9603919,0,4162.927946
1,1272.385571,819.9631428,0,3181.958485
1,1227.560791,999.476604,0,3355.127762
1,1256.888537,1129.874859,0,5834.1858
1,1266.203112,1214.651369,0,3612.491431
1,1228.47447,1253.503567,0,3253.689947
1,1275.113148,1429.49303,0,4243.159901
1,1281.813323,1595.406491,0,3220.739912
1,1243.632658,1888.071619,0,5452.227805
1,1260.182446,1945.178809,0,4241.483704
1,1279.541308,2013.226565,0,4284.359437
1,1320.803423,440.9698866,0,3444.929377
1,1318.834007,523.2676652,0,3803.001872
1,1340.068278,695.3738958,0,4252.135249
1,1308.095907,754.6596977,0,5166.152155
1,1341.352601,762.2846823,0,3438.224986
1,1311.95781,709.968481,0,3307.987028
1,1296.068958,761.2357664,0,3489.64825
1,1312.791202,766.9106483,0,3254.80631
1,1325.834651,748.4831727,0,3504.826585
1,1326.717457,755.0792848,0,3234.980901
1,1302.5,747.235913,0,3047.615927
1,1306.299404,777.8015138,0,4304.289768
1,1333.661154,795,0,3835.492543
1,1322,804.5,0,3387.947792
1,1348.217448,786.5,0,3596.007743
1,1317.106085,814.9949696,0,3372.033753
1,1330.112436,870.2812577,0,15314.32469
1,1316.773504,853.9219293,0,11926.27036
1,1294.753352,906.6777748,0,13594.9908
1,1287.269203,1049.925347,0,3370.280304
1,1314.440771,1054.193684,0,3645.1737
1,1296.914354,1379.701578,0,3399.69758
1,1332.621693,1585.5,0,3155.357216
1,1322.124442,1770.542217,0,3412.559004
1,1354.836333,479.805713,0,5883.266021
1,1369.22634,461.5983406,0,3784.193443
